0.000, Bid:,0,Ask:,0,
61.625, Bid:,9,127,1,155,1,177,1,204,1,225,1,262,1,292,1,293,1,294,1,Ask:,10,310,2,312,1,356,1,409,1,414,1,415,1,428,1,429,1,449,1,491,1,
61.650, Bid:,9,127,1,155,1,177,1,204,1,225,1,262,1,292,1,293,1,294,1,Ask:,10,310,2,312,1,356,1,409,1,410,1,414,1,415,1,428,1,429,1,449,1,
61.750, Bid:,9,127,1,155,1,177,1,204,1,225,1,262,1,292,1,293,1,294,1,Ask:,9,310,2,312,1,409,1,410,1,414,2,415,1,428,1,429,1,449,1,
61.800, Bid:,9,127,1,177,1,204,1,225,1,262,1,272,1,292,1,293,1,294,1,Ask:,9,310,2,312,1,409,1,410,1,414,2,415,1,428,1,429,1,449,1,
61.825, Bid:,10,57,1,127,1,177,1,204,1,225,1,262,1,272,1,292,1,293,1,294,1,Ask:,9,310,2,312,1,409,1,410,1,414,2,415,1,428,1,429,1,449,1,
61.850, Bid:,11,57,1,127,1,177,1,204,1,225,1,262,1,272,1,292,1,293,1,294,1,295,1,Ask:,9,310,2,312,1,409,1,410,1,414,2,415,1,428,1,429,1,449,1,
61.875, Bid:,11,57,1,127,1,177,1,204,1,225,1,262,1,272,1,292,1,293,1,294,1,295,1,Ask:,9,310,2,312,1,409,1,410,1,412,1,414,2,428,1,429,1,449,1,
61.900, Bid:,11,57,1,127,1,177,1,204,1,225,1,262,1,272,1,292,1,293,1,294,1,295,1,Ask:,9,310,2,312,1,409,1,412,1,414,2,428,1,429,1,449,1,468,1,
61.925, Bid:,11,57,1,127,1,177,1,204,1,225,1,262,1,272,1,292,1,293,1,294,1,295,1,Ask:,10,310,2,312,1,396,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
62.000, Bid:,11,57,1,127,1,177,1,204,1,225,1,262,1,272,1,292,1,293,1,294,1,296,1,Ask:,10,310,2,312,1,396,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
62.050, Bid:,11,1,1,127,1,177,1,204,1,225,1,262,1,272,1,292,1,293,1,294,1,296,1,Ask:,10,310,2,312,1,396,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
62.075, Bid:,10,1,1,127,1,177,1,204,1,225,1,262,1,272,1,293,1,294,1,296,1,Ask:,10,310,1,312,1,396,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
62.125, Bid:,10,1,1,25,1,127,1,177,1,204,1,225,1,262,1,293,1,294,1,296,1,Ask:,10,310,1,312,1,396,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
62.150, Bid:,11,1,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,294,1,296,1,Ask:,10,310,1,312,1,396,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
62.175, Bid:,11,1,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,294,1,296,1,Ask:,9,312,1,396,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
62.250, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,294,1,296,1,Ask:,9,312,1,396,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
62.275, Bid:,11,19,1,25,1,127,1,167,1,177,1,204,1,225,1,262,1,293,1,294,1,296,1,Ask:,9,310,1,396,1,409,1,412,1,414,1,428,1,429,1,449,1,468,1,
