0.000, Bid:,0,Ask:,0,
61.825, Bid:,11,70,1,181,1,197,1,250,1,262,1,287,1,300,1,301,1,304,1,306,1,309,1,Ask:,8,310,4,353,1,366,1,372,1,384,1,403,1,410,1,419,1,
61.900, Bid:,12,12,1,70,1,181,1,197,1,250,1,262,1,287,1,300,1,301,1,304,1,306,1,309,1,Ask:,8,310,4,353,1,366,1,372,1,384,1,403,1,410,1,419,1,
61.950, Bid:,12,16,1,70,1,181,1,197,1,250,1,262,1,287,1,300,1,301,1,304,1,306,1,309,1,Ask:,8,310,4,353,1,366,1,372,1,384,1,403,1,410,1,419,1,
61.975, Bid:,11,16,1,70,1,181,1,197,1,250,1,262,1,287,1,300,1,301,1,304,1,309,1,Ask:,8,310,3,353,1,366,1,372,1,384,1,403,1,410,1,419,1,
62.025, Bid:,11,16,1,70,1,181,1,197,1,250,1,262,1,287,1,300,1,301,1,304,1,309,1,Ask:,8,310,3,336,1,353,1,366,1,372,1,384,1,410,1,419,1,
62.050, Bid:,11,16,1,70,1,181,1,197,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,8,310,3,336,1,353,1,366,1,372,1,384,1,410,1,419,1,
62.075, Bid:,11,16,1,70,1,181,1,197,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,8,310,3,336,1,353,1,366,1,372,1,384,1,419,1,458,1,
62.100, Bid:,12,16,1,70,1,181,1,197,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,8,310,3,336,1,353,1,366,1,372,1,384,1,419,1,458,1,
62.200, Bid:,12,16,1,70,1,181,1,197,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,3,336,1,353,1,366,1,372,1,384,1,403,1,419,1,458,1,
62.250, Bid:,12,16,1,49,1,70,1,181,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,3,336,1,353,1,366,1,372,1,384,1,403,1,419,1,458,1,
62.275, Bid:,12,16,1,49,1,70,1,181,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,3,336,1,353,1,366,1,372,1,384,1,403,1,458,1,488,1,
62.300, Bid:,13,16,1,49,1,70,1,175,1,181,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,3,336,1,353,1,366,1,372,1,384,1,403,1,458,1,488,1,
62.375, Bid:,13,16,1,49,1,70,1,175,1,181,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,3,336,1,353,1,366,1,372,1,384,1,403,1,458,1,460,1,
62.400, Bid:,13,16,1,49,1,70,1,175,1,181,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,2,336,1,353,1,366,1,372,1,384,1,403,1,458,1,460,1,
62.450, Bid:,13,16,1,49,1,70,1,175,1,181,1,210,1,250,1,270,1,287,1,300,1,301,1,304,1,309,1,Ask:,9,310,2,328,1,353,1,366,1,372,1,384,1,403,1,458,1,460,1,
