B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
S10, Trade, 360.275, 338, B07, S10, 1
S11, 2
S11, Trade, 121.625, 338, S11, B13, 1
S11, Trade, 563.300, 310, S11, B10, 1
S12, 8
S12, Trade, 63.375, 338, B09, S12, 1
S12, Trade, 121.575, 335, S12, B16, 1
S12, Trade, 181.225, 311, S12, B07, 1
S12, Trade, 302.800, 310, S12, B05, 1
S12, Trade, 361.925, 339, B13, S12, 1
S12, Trade, 427.775, 318, B10, S12, 1
S12, Trade, 480.925, 313, S12, B07, 1
S12, Trade, 542.450, 310, S12, B07, 1
S13, 2
S13, Trade, 184.825, 310, S13, B06, 1
S13, Trade, 360.375, 340, B10, S13, 1
S14, 3
S14, Trade, 123.550, 330, S14, B11, 1
S14, Trade, 360.525, 352, B19, S14, 1
S14, Trade, 431.900, 314, B12, S14, 1
S15, 5
S15, Trade, 63.800, 339, S15, B10, 1
S15, Trade, 122.075, 335, S15, B15, 1
S15, Trade, 300.200, 338, B07, S15, 1
S15, Trade, 428.450, 313, B19, S15, 1
S15, Trade, 540.500, 313, B05, S15, 1
S16, 8
S16, Trade, 60.725, 310, S16, B12, 1
S16, Trade, 120.725, 337, S16, B07, 1
S16, Trade, 184.500, 310, S16, B10, 1
S16, Trade, 304.725, 310, S16, B09, 1
S16, Trade, 361.650, 340, S16, B17, 1
S16, Trade, 420.600, 339, B09, S16, 1
S16, Trade, 481.500, 310, S16, B08, 1
S16, Trade, 547.200, 310, S16, B19, 1
S17, 2
S17, Trade, 121.375, 335, B09, S17, 1
S17, Trade, 432.350, 314, S17, B18, 1
S18, 2
S18, Trade, 188.825, 310, S18, B09, 1
S18, Trade, 361.000, 331, B11, S18, 1
S19, 4
S19, Trade, 74.000, 336, B19, S19, 1
S19, Trade, 148.275, 313, B05, S19, 1
S19, Trade, 362.150, 338, B12, S19, 1
S19, Trade, 423.000, 325, B06, S19, 1
