0.000, Bid:,0,Ask:,0,
61.200, Bid:,12,55,1,65,1,109,1,111,1,138,1,203,1,267,1,275,1,287,1,313,1,315,1,316,1,Ask:,12,357,1,359,1,360,1,361,1,370,1,388,1,428,1,436,1,441,1,457,1,464,1,497,1,
61.275, Bid:,12,55,1,65,1,109,1,111,1,138,1,203,1,267,1,275,1,287,1,313,1,315,1,316,1,Ask:,12,357,1,359,1,360,1,361,1,370,1,388,1,436,1,437,1,441,1,457,1,464,1,497,1,
61.300, Bid:,13,55,1,65,1,109,1,111,1,138,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,Ask:,12,357,1,359,1,360,1,361,1,370,1,388,1,436,1,437,1,441,1,457,1,464,1,497,1,
61.325, Bid:,13,55,1,65,1,109,1,111,1,138,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,Ask:,12,325,1,357,1,359,1,360,1,361,1,370,1,436,1,437,1,441,1,457,1,464,1,497,1,
61.350, Bid:,13,55,1,65,1,109,1,111,1,138,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,Ask:,12,325,1,357,2,359,1,360,1,361,1,370,1,436,1,437,1,441,1,457,1,464,1,497,1,
61.375, Bid:,14,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,Ask:,12,325,1,357,2,359,1,360,1,361,1,370,1,436,1,437,1,441,1,457,1,464,1,497,1,
61.400, Bid:,14,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,Ask:,12,324,1,325,1,357,2,359,1,360,1,370,1,436,1,437,1,441,1,457,1,464,1,497,1,
61.425, Bid:,14,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,Ask:,13,323,1,324,1,325,1,357,2,359,1,360,1,370,1,436,1,437,1,441,1,457,1,464,1,497,1,
61.450, Bid:,15,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,13,323,1,324,1,325,1,357,2,359,1,360,1,370,1,436,1,437,1,441,1,457,1,464,1,497,1,
61.475, Bid:,15,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,13,323,1,324,1,325,1,357,2,359,1,360,1,370,1,387,1,436,1,437,1,441,1,457,1,464,1,
61.525, Bid:,15,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,13,322,1,323,1,324,1,325,1,357,2,359,1,370,1,387,1,436,1,437,1,441,1,457,1,464,1,
61.575, Bid:,15,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,12,323,1,324,1,325,1,357,2,359,1,370,1,387,1,436,1,437,1,441,1,457,1,464,1,
61.600, Bid:,15,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,12,323,1,324,1,325,1,342,1,357,2,359,1,370,1,387,1,436,1,437,1,441,1,464,1,
61.650, Bid:,16,27,1,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,12,323,1,324,1,325,1,342,1,357,2,359,1,370,1,387,1,436,1,437,1,441,1,464,1,
61.725, Bid:,16,27,1,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,13,323,1,324,1,325,1,342,1,357,2,359,1,370,1,374,1,387,1,436,1,437,1,441,1,464,1,
61.750, Bid:,16,27,1,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,13,322,1,323,1,324,1,325,1,342,1,357,2,370,1,374,1,387,1,436,1,437,1,441,1,464,1,
61.825, Bid:,16,27,1,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,14,322,1,323,1,324,1,325,1,342,1,356,1,357,1,370,1,374,1,387,1,436,1,437,1,441,1,464,1,
61.850, Bid:,16,27,1,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,14,321,1,322,1,324,1,325,1,342,1,356,1,357,1,370,1,374,1,387,1,436,1,437,1,441,1,464,1,
61.875, Bid:,16,27,1,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,Ask:,14,321,1,322,1,324,1,325,1,340,1,342,1,357,1,370,1,374,1,387,1,436,1,437,1,441,1,464,1,
61.900, Bid:,17,27,1,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,317,1,Ask:,14,321,1,322,1,324,1,325,1,340,1,342,1,357,1,370,1,374,1,387,1,436,1,437,1,441,1,464,1,
61.925, Bid:,17,27,1,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,317,1,Ask:,15,320,1,321,1,322,1,324,1,325,1,340,1,342,1,357,1,370,1,374,1,387,1,436,1,437,1,441,1,464,1,
61.950, Bid:,17,27,1,55,1,65,1,109,1,111,1,128,1,138,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,317,1,Ask:,15,319,1,320,1,321,1,322,1,324,1,325,1,340,1,342,1,370,1,374,1,387,1,436,1,437,1,441,1,464,1,
61.975, Bid:,17,27,1,55,1,65,1,109,1,111,1,128,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,317,1,318,1,Ask:,15,319,1,320,1,321,1,322,1,324,1,325,1,340,1,342,1,370,1,374,1,387,1,436,1,437,1,441,1,464,1,
62.000, Bid:,17,27,1,55,1,65,1,109,1,111,1,128,1,203,1,262,1,267,1,275,1,287,1,289,1,313,1,315,1,316,1,317,1,318,1,Ask:,15,319,1,320,1,321,1,322,1,324,1,325,1,329,1,340,1,342,1,370,1,374,1,387,1,436,1,437,1,441,1,
62.025, Bid:,17,27,1,55,1,65,1,109,1,111,1,128,1,200,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,317,1,318,1,Ask:,15,319,1,320,1,321,1,322,1,324,1,325,1,329,1,340,1,342,1,370,1,374,1,387,1,436,1,437,1,441,1,
62.050, Bid:,16,27,1,55,1,65,1,109,1,111,1,128,1,200,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,317,1,Ask:,14,320,1,321,1,322,1,324,1,325,1,329,1,340,1,342,1,370,1,374,1,387,1,436,1,437,1,441,1,
62.075, Bid:,17,27,1,55,1,65,1,109,1,111,1,128,1,200,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,317,1,318,1,Ask:,14,320,1,321,1,322,1,324,1,325,1,329,1,340,1,342,1,370,1,374,1,387,1,436,1,437,1,441,1,
62.125, Bid:,17,27,1,55,1,65,1,109,1,111,1,128,1,200,1,203,1,262,1,267,1,275,1,287,1,313,1,315,1,316,1,317,1,318,1,Ask:,14,320,1,321,1,322,1,324,1,325,1,329,1,340,1,342,1,370,1,374,1,387,1,436,1,441,1,445,1,
