B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
S02, Trade, 121.825, 340, S02, B19, 1
S02, Trade, 183.700, 310, S02, B08, 1
S02, Trade, 258.225, 310, S02, B06, 1
S02, Trade, 300.525, 314, S02, B12, 1
S02, Trade, 366.900, 311, S02, B09, 1
S02, Trade, 425.375, 310, S02, B18, 1
S02, Trade, 545.775, 310, S02, B07, 1
S03, 9
S03, Trade, 62.900, 310, S03, B16, 1
S03, Trade, 120.325, 310, S03, B12, 1
S03, Trade, 195.500, 310, S03, B07, 1
S03, Trade, 245.550, 310, S03, B07, 1
S03, Trade, 301.450, 311, B14, S03, 1
S03, Trade, 364.400, 310, S03, B10, 1
S03, Trade, 439.875, 310, S03, B15, 1
S03, Trade, 483.600, 310, S03, B19, 1
S03, Trade, 541.575, 310, S03, B14, 1
S04, 9
S04, Trade, 67.500, 310, S04, B14, 1
S04, Trade, 120.225, 310, S04, B10, 1
S04, Trade, 185.500, 310, S04, B06, 1
S04, Trade, 255.575, 312, S04, B05, 1
S04, Trade, 301.800, 318, S04, B19, 1
S04, Trade, 365.200, 310, S04, B11, 1
S04, Trade, 421.300, 310, S04, B17, 1
S04, Trade, 519.875, 310, S04, B06, 1
S04, Trade, 550.900, 311, S04, B09, 1
S05, 9
S05, Trade, 60.625, 310, S05, B12, 1
S05, Trade, 136.750, 310, S05, B09, 1
S05, Trade, 184.475, 310, S05, B14, 1
S05, Trade, 240.925, 310, S05, B12, 1
S05, Trade, 306.075, 310, S05, B15, 1
S05, Trade, 360.975, 310, S05, B12, 1
S05, Trade, 441.725, 310, S05, B10, 1
S05, Trade, 481.350, 310, S05, B11, 1
S05, Trade, 542.225, 310, S05, B13, 1
S06, 9
S06, Trade, 66.200, 310, S06, B09, 1
S06, Trade, 120.875, 312, S06, B07, 1
S06, Trade, 180.125, 360, B09, S06, 1
S06, Trade, 242.900, 310, S06, B15, 1
S06, Trade, 300.675, 314, S06, B11, 1
S06, Trade, 360.625, 312, S06, B16, 1
S06, Trade, 420.675, 310, S06, B19, 1
S06, Trade, 480.700, 311, S06, B09, 1
S06, Trade, 543.400, 310, S06, B18, 1
S07, 0
S08, 9
S08, Trade, 65.825, 310, S08, B15, 1
S08, Trade, 120.800, 310, S08, B15, 1
S08, Trade, 181.400, 310, S08, B12, 1
S08, Trade, 240.525, 310, S08, B19, 1
S08, Trade, 302.325, 311, B16, S08, 1
S08, Trade, 365.050, 310, S08, B14, 1
S08, Trade, 420.775, 310, S08, B09, 1
S08, Trade, 480.850, 310, S08, B15, 1
S08, Trade, 542.500, 310, S08, B15, 1
S09, 9
S09, Trade, 60.350, 310, S09, B19, 1
S09, Trade, 121.625, 310, B14, S09, 1
S09, Trade, 185.925, 310, S09, B18, 1
S09, Trade, 241.000, 310, S09, B14, 1
S09, Trade, 302.175, 312, B13, S09, 1
S09, Trade, 360.475, 313, B13, S09, 1
S09, Trade, 421.325, 310, S09, B14, 1
