0.000, Bid:,0,Ask:,0,
60.025, Bid:,0,Ask:,1,310,1,
60.050, Bid:,1,300,1,Ask:,1,310,1,
60.075, Bid:,2,250,1,300,1,Ask:,1,310,1,
60.100, Bid:,3,250,1,275,1,300,1,Ask:,1,310,1,
60.125, Bid:,4,250,1,275,1,300,1,301,1,Ask:,1,310,1,
60.150, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,1,
60.175, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,2,
60.200, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,1,
60.225, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,2,
60.250, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,3,
60.275, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,2,
60.300, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,3,
60.325, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,2,
60.350, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,3,
60.375, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,2,
60.400, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,1,310,1,
60.450, Bid:,5,250,1,275,1,278,1,300,1,301,1,Ask:,2,310,1,311,1,
60.500, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,2,310,1,311,1,
60.525, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,2,310,2,311,1,
60.575, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,2,310,3,311,1,
60.600, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,2,310,4,311,1,
60.675, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,4,311,1,348,1,
60.750, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,3,311,1,348,1,
60.775, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,2,311,1,348,1,
60.825, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,2,348,1,463,1,
60.875, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,3,348,1,463,1,
60.900, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,4,348,1,463,1,
60.925, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,4,348,1,387,1,
61.050, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,3,348,1,387,1,
61.100, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,4,348,1,387,1,
61.150, Bid:,6,35,1,250,1,275,1,278,1,300,1,301,1,Ask:,3,310,3,348,1,387,1,
61.175, Bid:,7,35,1,250,1,262,1,275,1,278,1,300,1,301,1,Ask:,3,310,3,348,1,387,1,
61.350, Bid:,7,35,1,250,1,262,1,275,1,278,1,300,1,301,1,Ask:,4,310,3,348,1,387,1,451,1,
61.475, Bid:,7,35,1,250,1,262,1,275,1,278,1,300,1,301,2,Ask:,4,310,3,348,1,387,1,451,1,
61.500, Bid:,7,35,1,250,1,262,1,275,1,278,1,300,1,301,2,Ask:,4,310,3,318,1,348,1,451,1,
61.575, Bid:,7,248,1,250,1,262,1,275,1,278,1,300,1,301,2,Ask:,4,310,3,318,1,348,1,451,1,
61.775, Bid:,7,248,1,250,1,262,1,275,1,278,1,300,1,301,2,Ask:,4,310,4,318,1,348,1,451,1,
61.825, Bid:,7,248,1,250,1,262,1,275,1,278,1,300,1,301,2,Ask:,4,310,5,318,1,348,1,451,1,
61.975, Bid:,7,248,1,250,1,262,1,275,1,278,1,300,1,301,2,Ask:,4,310,5,315,1,318,1,451,1,
62.075, Bid:,7,248,1,250,1,262,1,275,1,278,1,300,1,301,2,Ask:,4,310,5,315,1,317,1,451,1,
62.100, Bid:,8,248,1,250,1,262,1,275,1,278,1,287,1,300,1,301,2,Ask:,4,310,5,315,1,317,1,451,1,
62.175, Bid:,8,248,1,250,1,262,1,275,1,278,1,287,1,300,1,301,2,Ask:,4,310,4,315,1,317,1,451,1,
62.325, Bid:,9,248,1,250,1,262,1,275,1,278,1,287,1,300,1,301,1,302,1,Ask:,4,310,4,315,1,317,1,451,1,
62.375, Bid:,9,248,1,250,1,262,1,275,1,286,1,287,1,300,1,301,1,302,1,Ask:,4,310,4,315,1,317,1,451,1,
62.400, Bid:,9,248,1,250,1,262,1,275,1,286,1,287,1,300,1,301,1,302,1,Ask:,4,310,4,311,1,317,1,451,1,
62.475, Bid:,9,248,1,250,1,262,1,275,1,286,1,287,1,300,1,301,1,302,1,Ask:,4,310,4,311,1,317,1,446,1,
62.525, Bid:,9,173,1,250,1,262,1,275,1,286,1,287,1,300,1,301,1,302,1,Ask:,4,310,4,311,1,317,1,446,1,
62.575, Bid:,8,250,2,262,1,275,1,286,1,287,1,300,1,301,1,302,1,Ask:,4,310,4,311,1,317,1,446,1,
62.775, Bid:,8,250,2,262,1,275,1,286,1,287,1,300,1,301,1,302,1,Ask:,4,310,5,311,1,317,1,446,1,
62.800, Bid:,8,250,2,262,1,275,1,286,1,287,1,300,1,301,1,302,1,Ask:,4,310,6,311,1,317,1,446,1,
62.825, Bid:,8,250,2,262,1,275,1,286,1,287,1,300,1,301,1,302,1,Ask:,5,310,6,311,1,317,1,340,1,446,1,
62.975, Bid:,9,250,2,262,1,275,1,286,1,287,1,300,1,301,1,302,1,303,1,Ask:,5,310,6,311,1,317,1,340,1,446,1,
63.050, Bid:,9,250,2,262,1,275,1,286,1,287,1,300,1,301,1,302,1,303,1,Ask:,5,310,6,311,1,340,1,376,1,446,1,
63.150, Bid:,9,250,2,262,1,275,1,286,1,287,1,300,1,301,1,302,1,303,1,Ask:,5,310,6,311,1,340,1,446,1,483,1,
