t=,673761, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.064, mSel=,+0.000, b=,0.075, m=,0.095, ca=,0.0513, cr=,0.0490,  actvprof=,0.414242, best_B_id=,B04, best_B_prof=,0.414242, best_B_strat=, mBuy=,-0.064, mSel=,+0.000, b=,0.075, m=,0.095, ca=,0.0513, cr=,0.0490, 
t=,709223, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.030, mSel=,+0.021, b=,0.091, m=,0.080, ca=,0.0494, cr=,0.0520,  actvprof=,0.426386, best_B_id=,B04, best_B_prof=,0.426386, best_B_strat=, mBuy=,-0.030, mSel=,+0.021, b=,0.091, m=,0.080, ca=,0.0494, cr=,0.0520, 
t=,744684, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.030, mSel=,+0.021, b=,0.091, m=,0.080, ca=,0.0494, cr=,0.0520,  actvprof=,0.445739, best_B_id=,B04, best_B_prof=,0.445739, best_B_strat=, mBuy=,-0.030, mSel=,+0.021, b=,0.091, m=,0.080, ca=,0.0494, cr=,0.0520, 
t=,780146, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.030, mSel=,+0.021, b=,0.091, m=,0.080, ca=,0.0494, cr=,0.0520,  actvprof=,0.464802, best_B_id=,B04, best_B_prof=,0.464802, best_B_strat=, mBuy=,-0.030, mSel=,+0.021, b=,0.091, m=,0.080, ca=,0.0494, cr=,0.0520, 
t=,815607, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.022, mSel=,+0.045, b=,0.100, m=,0.066, ca=,0.0449, cr=,0.0541,  actvprof=,0.467640, best_B_id=,B04, best_B_prof=,0.467640, best_B_strat=, mBuy=,-0.022, mSel=,+0.045, b=,0.100, m=,0.066, ca=,0.0449, cr=,0.0541, 
t=,851069, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.022, mSel=,+0.045, b=,0.100, m=,0.066, ca=,0.0449, cr=,0.0541,  actvprof=,0.481264, best_B_id=,B04, best_B_prof=,0.481264, best_B_strat=, mBuy=,-0.022, mSel=,+0.045, b=,0.100, m=,0.066, ca=,0.0449, cr=,0.0541, 
t=,886530, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.061, mSel=,+0.010, b=,0.078, m=,0.061, ca=,0.0465, cr=,0.0552,  actvprof=,0.438745, best_B_id=,B04, best_B_prof=,0.438745, best_B_strat=, mBuy=,-0.061, mSel=,+0.010, b=,0.078, m=,0.061, ca=,0.0465, cr=,0.0552, 
t=,921991, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.061, mSel=,+0.010, b=,0.078, m=,0.061, ca=,0.0465, cr=,0.0552,  actvprof=,0.435300, best_B_id=,B04, best_B_prof=,0.435300, best_B_strat=, mBuy=,-0.061, mSel=,+0.010, b=,0.078, m=,0.061, ca=,0.0465, cr=,0.0552, 
t=,957456, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.075, mSel=,+0.031, b=,0.075, m=,0.087, ca=,0.0506, cr=,0.0584,  actvprof=,0.420350, best_B_id=,B04, best_B_prof=,0.420350, best_B_strat=, mBuy=,-0.075, mSel=,+0.031, b=,0.075, m=,0.087, ca=,0.0506, cr=,0.0584, 
t=,992917, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.075, mSel=,+0.031, b=,0.075, m=,0.087, ca=,0.0506, cr=,0.0584,  actvprof=,0.445170, best_B_id=,B04, best_B_prof=,0.445170, best_B_strat=, mBuy=,-0.075, mSel=,+0.031, b=,0.075, m=,0.087, ca=,0.0506, cr=,0.0584, 
t=,1028378, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.042, mSel=,+0.030, b=,0.088, m=,0.083, ca=,0.0490, cr=,0.0588,  actvprof=,0.451070, best_B_id=,B04, best_B_prof=,0.451070, best_B_strat=, mBuy=,-0.042, mSel=,+0.030, b=,0.088, m=,0.083, ca=,0.0490, cr=,0.0588, 
t=,1063840, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.062, mSel=,+0.005, b=,0.110, m=,0.067, ca=,0.0491, cr=,0.0592,  actvprof=,0.440285, best_B_id=,B04, best_B_prof=,0.440285, best_B_strat=, mBuy=,-0.062, mSel=,+0.005, b=,0.110, m=,0.067, ca=,0.0491, cr=,0.0592, 
t=,1099301, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.062, mSel=,+0.005, b=,0.110, m=,0.067, ca=,0.0491, cr=,0.0592,  actvprof=,0.489879, best_B_id=,B04, best_B_prof=,0.489879, best_B_strat=, mBuy=,-0.062, mSel=,+0.005, b=,0.110, m=,0.067, ca=,0.0491, cr=,0.0592, 
