B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
S05, Trade, 480.750, 310, S05, B13, 1
S05, Trade, 541.175, 310, S05, B08, 1
S06, 2
S06, Trade, 121.950, 310, S06, B06, 1
S06, Trade, 542.800, 310, S06, B18, 1
S07, 0
S08, 7
S08, Trade, 60.550, 310, S08, B09, 1
S08, Trade, 122.750, 310, S08, B09, 1
S08, Trade, 304.050, 310, S08, B13, 1
S08, Trade, 361.325, 310, S08, B19, 1
S08, Trade, 421.300, 310, S08, B14, 1
S08, Trade, 480.425, 313, S08, B12, 1
S08, Trade, 540.800, 310, S08, B16, 1
S09, 8
S09, Trade, 62.650, 310, S09, B07, 1
S09, Trade, 120.950, 310, S09, B13, 1
S09, Trade, 243.150, 310, S09, B07, 1
S09, Trade, 300.275, 310, S09, B12, 1
S09, Trade, 360.425, 310, S09, B11, 1
S09, Trade, 420.900, 310, S09, B15, 1
S09, Trade, 482.650, 310, S09, B19, 1
S09, Trade, 544.250, 310, S09, B05, 1
S10, 0
S11, 4
S11, Trade, 120.750, 310, S11, B12, 1
S11, Trade, 244.000, 310, S11, B19, 1
S11, Trade, 305.175, 310, S11, B17, 1
S11, Trade, 540.750, 310, S11, B11, 1
S12, 8
S12, Trade, 67.550, 310, S12, B14, 1
S12, Trade, 126.450, 310, S12, B15, 1
S12, Trade, 181.300, 310, S12, B07, 1
S12, Trade, 241.350, 310, S12, B12, 1
S12, Trade, 303.300, 310, S12, B11, 1
S12, Trade, 361.375, 310, S12, B08, 1
S12, Trade, 420.575, 310, S12, B10, 1
S12, Trade, 481.625, 310, S12, B14, 1
S13, 5
S13, Trade, 122.800, 310, S13, B07, 1
S13, Trade, 182.600, 310, S13, B18, 1
S13, Trade, 361.525, 310, S13, B12, 1
S13, Trade, 420.525, 310, S13, B08, 1
S13, Trade, 542.625, 310, S13, B14, 1
S14, 5
S14, Trade, 120.725, 310, S14, B11, 1
S14, Trade, 187.275, 310, S14, B11, 1
S14, Trade, 300.600, 310, S14, B09, 1
S14, Trade, 421.850, 311, S14, B18, 1
S14, Trade, 482.225, 311, S14, B17, 1
S15, 9
S15, Trade, 60.300, 310, S15, B17, 1
S15, Trade, 120.475, 310, S15, B18, 1
S15, Trade, 180.525, 310, S15, B13, 1
S15, Trade, 240.950, 310, S15, B18, 1
S15, Trade, 300.725, 310, S15, B18, 1
S15, Trade, 362.625, 310, S15, B16, 1
S15, Trade, 420.925, 310, S15, B07, 1
S15, Trade, 482.600, 310, S15, B07, 1
S15, Trade, 543.525, 310, S15, B06, 1
S16, 7
S16, Trade, 60.850, 310, S16, B15, 1
S16, Trade, 120.875, 310, S16, B16, 1
S16, Trade, 180.675, 310, S16, B12, 1
S16, Trade, 246.425, 310, S16, B17, 1
S16, Trade, 436.875, 310, S16, B11, 1
S16, Trade, 480.825, 310, S16, B09, 1
S16, Trade, 541.050, 310, S16, B19, 1
S17, 8
S17, Trade, 68.900, 310, S17, B11, 1
S17, Trade, 122.850, 310, S17, B19, 1
S17, Trade, 181.725, 310, S17, B09, 1
S17, Trade, 246.975, 310, S17, B15, 1
S17, Trade, 360.625, 310, S17, B13, 1
S17, Trade, 421.175, 310, S17, B12, 1
S17, Trade, 481.800, 310, S17, B16, 1
S17, Trade, 540.900, 310, S17, B13, 1
S18, 7
S18, Trade, 62.575, 310, S18, B19, 1
S18, Trade, 121.350, 310, S18, B14, 1
S18, Trade, 182.175, 310, S18, B19, 1
S18, Trade, 301.825, 310, S18, B14, 1
S18, Trade, 421.700, 310, S18, B16, 1
S18, Trade, 480.850, 310, S18, B15, 1
S18, Trade, 541.600, 310, S18, B07, 1
S19, 8
S19, Trade, 62.175, 310, S19, B12, 1
S19, Trade, 123.000, 310, S19, B17, 1
S19, Trade, 245.975, 310, S19, B14, 1
S19, Trade, 301.850, 310, S19, B15, 1
S19, Trade, 360.975, 310, S19, B18, 1
S19, Trade, 421.775, 310, S19, B13, 1
S19, Trade, 481.200, 310, S19, B18, 1
S19, Trade, 541.750, 310, S19, B12, 1
