B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
S02, Trade, 124.425, 310, S02, B11, 1
S02, Trade, 181.425, 310, S02, B13, 1
S02, Trade, 241.500, 310, S02, B16, 1
S02, Trade, 301.125, 313, S02, B18, 1
S02, Trade, 363.500, 310, S02, B12, 1
S02, Trade, 425.625, 310, S02, B16, 1
S02, Trade, 491.625, 310, S02, B11, 1
S02, Trade, 540.975, 310, S02, B10, 1
S03, 8
S03, Trade, 70.875, 318, S03, B08, 1
S03, Trade, 120.875, 385, S03, B14, 1
S03, Trade, 244.200, 310, S03, B08, 1
S03, Trade, 301.575, 314, S03, B08, 1
S03, Trade, 366.725, 310, S03, B19, 1
S03, Trade, 423.700, 310, S03, B14, 1
S03, Trade, 482.550, 312, S03, B19, 1
S03, Trade, 541.225, 310, S03, B07, 1
S04, 4
S04, Trade, 240.425, 310, S04, B13, 1
S04, Trade, 303.300, 310, S04, B07, 1
S04, Trade, 492.050, 310, S04, B13, 1
S04, Trade, 541.075, 310, S04, B12, 1
S05, 9
S05, Trade, 63.475, 326, B07, S05, 1
S05, Trade, 137.925, 310, S05, B07, 1
S05, Trade, 183.075, 310, S05, B07, 1
S05, Trade, 241.625, 310, S05, B10, 1
S05, Trade, 302.200, 310, S05, B15, 1
S05, Trade, 360.425, 310, S05, B06, 1
S05, Trade, 420.700, 310, S05, B10, 1
S05, Trade, 482.250, 310, S05, B08, 1
S05, Trade, 540.525, 310, S05, B16, 1
S06, 1
S06, Trade, 480.925, 354, B09, S06, 1
S07, 7
S07, Trade, 61.775, 376, B10, S07, 1
S07, Trade, 136.825, 310, S07, B13, 1
S07, Trade, 180.650, 310, B09, S07, 1
S07, Trade, 243.200, 310, S07, B17, 1
S07, Trade, 304.925, 310, S07, B13, 1
S07, Trade, 480.425, 401, B12, S07, 1
S07, Trade, 540.900, 310, S07, B17, 1
S08, 9
S08, Trade, 60.750, 399, S08, B18, 1
S08, Trade, 120.150, 311, S08, B17, 1
S08, Trade, 183.750, 310, S08, B16, 1
S08, Trade, 240.950, 310, S08, B14, 1
S08, Trade, 302.150, 310, S08, B16, 1
S08, Trade, 360.500, 310, S08, B14, 1
S08, Trade, 422.475, 310, S08, B07, 1
