B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 8
S08, Trade, 242.300, 310, S08, B12, 1
S08, Trade, 406.050, 310, S08, B06, 1
S08, Trade, 422.250, 310, S08, B15, 1
S09, 8
S09, Trade, 60.275, 310, S09, B11, 1
S09, Trade, 120.075, 310, S09, B11, 1
S09, Trade, 221.850, 310, S09, B06, 1
S09, Trade, 301.500, 310, S09, B15, 1
S09, Trade, 367.275, 310, S09, B16, 1
S09, Trade, 421.075, 310, S09, B17, 1
S09, Trade, 486.350, 310, S09, B16, 1
S09, Trade, 541.975, 310, S09, B14, 1
S10, 7
S10, Trade, 62.625, 310, S10, B06, 1
S10, Trade, 126.600, 310, S10, B16, 1
S10, Trade, 181.300, 310, S10, B19, 1
S10, Trade, 248.600, 310, S10, B16, 1
S10, Trade, 310.425, 310, S10, B16, 1
S10, Trade, 483.350, 310, S10, B14, 1
S10, Trade, 555.325, 310, S10, B06, 1
S11, 1
S11, Trade, 73.375, 311, B07, S11, 1
S12, 6
S12, Trade, 60.150, 310, S12, B12, 1
S12, Trade, 120.325, 310, S12, B17, 1
S12, Trade, 240.625, 310, S12, B17, 1
S12, Trade, 360.825, 310, S12, B17, 1
S12, Trade, 422.550, 310, S12, B06, 1
S12, Trade, 540.525, 310, S12, B11, 1
S13, 8
S13, Trade, 65.050, 310, S13, B14, 1
S13, Trade, 122.100, 310, S13, B15, 1
S13, Trade, 180.925, 310, S13, B16, 1
S13, Trade, 242.325, 310, S13, B15, 1
S13, Trade, 312.325, 310, S13, B06, 1
S13, Trade, 366.600, 310, S13, B09, 1
S13, Trade, 420.975, 310, S13, B11, 1
S13, Trade, 541.150, 310, S13, B07, 1
S14, 8
S14, Trade, 62.200, 310, S14, B19, 1
S14, Trade, 120.850, 310, S14, B19, 1
S14, Trade, 182.975, 310, S14, B09, 1
S14, Trade, 241.200, 310, S14, B19, 1
S14, Trade, 300.500, 310, S14, B13, 1
S14, Trade, 360.800, 310, S14, B11, 1
S14, Trade, 485.800, 310, S14, B09, 1
S14, Trade, 544.000, 310, S14, B12, 1
S15, 2
S15, Trade, 180.175, 464, B17, S15, 1
S15, Trade, 540.700, 352, S15, B17, 1
S16, 2
S16, Trade, 181.950, 310, S16, B11, 1
S16, Trade, 484.500, 310, S16, B06, 1
S17, 9
S17, Trade, 61.025, 310, S17, B17, 1
S17, Trade, 121.800, 310, S17, B18, 1
S17, Trade, 181.800, 310, S17, B14, 1
S17, Trade, 246.650, 310, S17, B09, 1
S17, Trade, 301.800, 310, S17, B11, 1
S17, Trade, 360.575, 310, S17, B12, 1
S17, Trade, 426.150, 310, S17, B13, 1
S17, Trade, 480.575, 310, S17, B17, 1
S17, Trade, 543.575, 310, S17, B13, 1
S18, 4
S18, Trade, 301.275, 310, S18, B17, 1
S18, Trade, 362.100, 310, S18, B15, 1
S18, Trade, 486.925, 310, S18, B12, 1
S18, Trade, 545.725, 310, S18, B09, 1
S19, 4
S19, Trade, 68.075, 312, S19, B15, 1
S19, Trade, 301.850, 310, S19, B09, 1
S19, Trade, 431.150, 310, S19, B09, 1
S19, Trade, 483.000, 310, S19, B11, 1
