B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
S01, Trade, 120.350, 313, B05, S01, 1
S01, Trade, 181.150, 310, S01, B13, 1
S01, Trade, 300.775, 310, S01, B17, 1
S01, Trade, 363.350, 310, S01, B16, 1
S01, Trade, 421.100, 310, S01, B17, 1
S01, Trade, 540.925, 310, S01, B12, 1
S02, 6
S02, Trade, 120.725, 310, S02, B15, 1
S02, Trade, 245.950, 310, S02, B08, 1
S02, Trade, 301.350, 310, S02, B07, 1
S02, Trade, 360.575, 310, S02, B19, 1
S02, Trade, 485.600, 310, S02, B11, 1
S02, Trade, 541.100, 310, S02, B16, 1
S03, 3
S03, Trade, 181.225, 321, S03, B15, 1
S03, Trade, 361.600, 310, S03, B10, 1
S03, Trade, 428.725, 310, S03, B14, 1
S04, 7
S04, Trade, 60.375, 310, S04, B13, 1
S04, Trade, 120.150, 464, B17, S04, 1
S04, Trade, 241.025, 310, S04, B19, 1
S04, Trade, 300.275, 310, S04, B15, 1
S04, Trade, 420.500, 310, S04, B19, 1
S04, Trade, 480.575, 310, S04, B05, 1
S04, Trade, 544.600, 310, S04, B14, 1
S05, 7
S05, Trade, 60.400, 310, S05, B16, 1
S05, Trade, 130.050, 310, S05, B11, 1
S05, Trade, 180.275, 310, S05, B17, 1
S05, Trade, 241.525, 310, S05, B05, 1
S05, Trade, 301.625, 310, S05, B06, 1
S05, Trade, 363.575, 310, S05, B09, 1
S05, Trade, 481.200, 310, S05, B16, 1
S06, 6
S06, Trade, 60.200, 310, S06, B06, 1
S06, Trade, 120.800, 310, S06, B12, 1
S06, Trade, 182.475, 310, S06, B08, 1
S06, Trade, 420.800, 310, S06, B10, 1
S06, Trade, 482.250, 310, S06, B10, 1
S06, Trade, 541.150, 310, S06, B06, 1
S07, 6
S07, Trade, 69.850, 310, S07, B14, 1
S07, Trade, 184.100, 310, S07, B09, 1
S07, Trade, 242.675, 310, S07, B17, 1
S07, Trade, 302.075, 310, B08, S07, 1
S07, Trade, 360.475, 310, S07, B12, 1
S07, Trade, 480.400, 310, S07, B19, 1
S08, 9
S08, Trade, 60.325, 310, S08, B10, 1
S08, Trade, 120.825, 310, S08, B06, 1
S08, Trade, 180.150, 310, S08, B05, 1
S08, Trade, 241.350, 310, S08, B06, 1
S08, Trade, 300.400, 310, S08, B16, 1
S08, Trade, 360.350, 310, S08, B05, 1
S08, Trade, 432.225, 310, S08, B11, 1
S08, Trade, 480.525, 310, S08, B12, 1
S08, Trade, 541.675, 310, S08, B10, 1
S09, 6
S09, Trade, 60.775, 310, S09, B18, 1
S09, Trade, 121.900, 310, S09, B08, 1
S09, Trade, 182.200, 310, S09, B06, 1
S09, Trade, 241.775, 310, S09, B14, 1
S09, Trade, 360.950, 310, S09, B15, 1
S09, Trade, 421.750, 310, S09, B08, 1
S10, 2
S10, Trade, 180.650, 315, S10, B14, 1
S10, Trade, 301.000, 344, S10, B19, 1
S11, 8
S11, Trade, 60.275, 310, S11, B12, 1
S11, Trade, 124.025, 310, S11, B14, 1
S11, Trade, 180.500, 310, S11, B12, 1
S11, Trade, 241.825, 310, S11, B10, 1
S11, Trade, 300.650, 310, S11, B14, 1
S11, Trade, 361.100, 310, S11, B13, 1
S11, Trade, 420.450, 310, S11, B05, 1
S11, Trade, 542.050, 310, S11, B17, 1
S12, 7
S12, Trade, 64.650, 310, S12, B08, 1
S12, Trade, 180.600, 310, S12, B16, 1
S12, Trade, 240.550, 310, S12, B16, 1
S12, Trade, 300.525, 310, S12, B05, 1
S12, Trade, 360.700, 310, S12, B06, 1
S12, Trade, 421.875, 310, S12, B06, 1
S12, Trade, 482.650, 310, S12, B14, 1
S13, 8
S13, Trade, 63.925, 310, S13, B11, 1
S13, Trade, 182.925, 310, S13, B10, 1
S13, Trade, 247.000, 310, S13, B09, 1
S13, Trade, 300.875, 310, S13, B11, 1
S13, Trade, 361.325, 310, S13, B08, 1
S13, Trade, 421.000, 310, S13, B09, 1
S13, Trade, 480.425, 310, S13, B15, 1
S13, Trade, 541.750, 310, S13, B15, 1
S14, 1
S14, Trade, 120.100, 490, B19, S14, 1
S15, 6
S15, Trade, 180.875, 334, B11, S15, 1
S15, Trade, 301.450, 310, S15, B12, 1
S15, Trade, 370.500, 310, S15, B11, 1
S15, Trade, 422.675, 310, S15, B16, 1
S15, Trade, 483.000, 310, S15, B09, 1
S15, Trade, 540.650, 310, S15, B05, 1
S16, 3
S16, Trade, 123.950, 310, S16, B09, 1
S16, Trade, 240.875, 310, S16, B13, 1
S16, Trade, 543.850, 310, S16, B11, 1
S17, 6
S17, Trade, 61.050, 310, S17, B05, 1
S17, Trade, 121.000, 310, S17, B16, 1
S17, Trade, 240.475, 310, S17, B12, 1
S17, Trade, 422.150, 310, S17, B13, 1
S17, Trade, 481.775, 310, S17, B17, 1
S17, Trade, 541.475, 310, S17, B08, 1
S18, 5
S18, Trade, 65.175, 310, S18, B09, 1
S18, Trade, 301.400, 310, S18, B13, 1
S18, Trade, 422.375, 310, S18, B15, 1
S18, Trade, 481.275, 310, S18, B13, 1
S18, Trade, 540.500, 310, S18, B19, 1
S19, 9
S19, Trade, 61.150, 310, S19, B17, 1
S19, Trade, 120.325, 376, B10, S19, 1
S19, Trade, 180.625, 310, S19, B19, 1
S19, Trade, 242.650, 310, S19, B11, 1
S19, Trade, 301.725, 310, S19, B09, 1
S19, Trade, 361.750, 310, S19, B17, 1
S19, Trade, 420.475, 310, S19, B12, 1
S19, Trade, 482.300, 310, S19, B06, 1
S19, Trade, 540.625, 310, S19, B13, 1
