B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B19, Trade, 181.300, 310, S03, B19, 1
B19, Trade, 246.250, 310, S18, B19, 1
B19, Trade, 307.075, 310, S07, B19, 1
B19, Trade, 361.825, 384, B19, S00, 1
B19, Trade, 428.900, 316, B19, S01, 1
B19, Trade, 486.400, 310, S18, B19, 1
B19, Trade, 544.250, 317, S19, B19, 1
S00, 1
S00, Trade, 361.825, 384, B19, S00, 1
S01, 9
S01, Trade, 65.050, 310, S01, B18, 1
S01, Trade, 123.625, 310, S01, B09, 1
S01, Trade, 187.775, 310, S01, B12, 1
S01, Trade, 243.100, 310, S01, B07, 1
S01, Trade, 303.600, 310, S01, B07, 1
S01, Trade, 366.125, 352, B17, S01, 1
S01, Trade, 428.900, 316, B19, S01, 1
S01, Trade, 487.475, 310, S01, B17, 1
S01, Trade, 544.050, 318, B17, S01, 1
S02, 8
S02, Trade, 66.550, 310, S02, B09, 1
S02, Trade, 122.575, 310, S02, B10, 1
S02, Trade, 181.150, 311, S02, B05, 1
S02, Trade, 243.950, 310, S02, B17, 1
S02, Trade, 367.925, 338, B07, S02, 1
S02, Trade, 421.800, 310, S02, B18, 1
S02, Trade, 486.925, 310, S02, B06, 1
S02, Trade, 569.425, 310, S02, B10, 1
S03, 8
S03, Trade, 90.275, 310, S03, B05, 1
S03, Trade, 123.600, 310, S03, B13, 1
S03, Trade, 181.300, 310, S03, B19, 1
S03, Trade, 242.000, 310, S03, B12, 1
S03, Trade, 304.600, 310, S03, B13, 1
S03, Trade, 363.850, 371, B11, S03, 1
S03, Trade, 424.150, 348, S03, B14, 1
S03, Trade, 488.200, 310, S03, B13, 1
S04, 9
S04, Trade, 66.975, 310, S04, B08, 1
S04, Trade, 123.650, 310, S04, B18, 1
S04, Trade, 182.125, 311, B09, S04, 1
S04, Trade, 242.625, 310, S04, B13, 1
S04, Trade, 303.500, 310, S04, B16, 1
S04, Trade, 368.200, 338, S04, B14, 1
S04, Trade, 421.550, 310, S04, B09, 1
S04, Trade, 486.075, 310, S04, B15, 1
S04, Trade, 546.425, 312, B08, S04, 1
S05, 7
S05, Trade, 65.775, 310, S05, B06, 1
S05, Trade, 181.675, 311, B15, S05, 1
S05, Trade, 243.675, 310, S05, B11, 1
S05, Trade, 306.550, 310, S05, B09, 1
S05, Trade, 422.350, 311, S05, B16, 1
S05, Trade, 486.775, 310, S05, B08, 1
S05, Trade, 544.625, 315, S05, B12, 1
S06, 1
S06, Trade, 361.900, 384, B18, S06, 1
S07, 8
S07, Trade, 145.375, 310, S07, B05, 1
S07, Trade, 181.425, 311, S07, B06, 1
S07, Trade, 244.700, 310, S07, B14, 1
S07, Trade, 307.075, 310, S07, B19, 1
S07, Trade, 363.075, 377, S07, B12, 1
S07, Trade, 421.525, 310, S07, B06, 1
S07, Trade, 486.350, 310, S07, B10, 1
S07, Trade, 545.725, 313, B07, S07, 1
S08, 7
S08, Trade, 64.675, 310, S08, B14, 1
S08, Trade, 123.275, 310, S08, B08, 1
S08, Trade, 187.750, 310, S08, B07, 1
S08, Trade, 242.275, 310, S08, B15, 1
S08, Trade, 331.075, 310, S08, B17, 1
S08, Trade, 487.375, 310, S08, B09, 1
S08, Trade, 545.575, 314, S08, B15, 1
S09, 8
S09, Trade, 66.875, 310, S09, B17, 1
